[60, 500, 3, 2000, 1]
[50, 500, 10, 2000, 0]
[60, 600, 9, 2500, 0]
[70, 700, 8, 3000, 0]
[80, 800, 7, 3500, 0]
[90, 900, 6, 4000, 0]
[100, 500, 5, 4500, 1]
[110, 600, 4, 5000, 1]
[120, 700, 3, 5500, 1]
[130, 800, 2, 6000, 1]
[140, 900, 1, 6000, 1]
[150, 500, 10, 7000, 0]
[50, 500, 9, 2000, 0]
[60, 600, 8, 2000, 0]
[70, 700, 7, 3000, 0]
[80, 800, 6, 3000, 0]
[90, 900, 5, 4000, 0]
[100, 500, 4, 4000, 1]
[100, 600, 3, 5000, 1]
[100, 700, 2, 5000, 1]
[100, 800, 1, 6000, 1]
[100, 900, 10, 6000, 0]
[100, 500, 9, 7000, 0]
[60, 600, 7, 2300, 0]
[90, 700, 5, 3000, 0]
[100, 800, 3, 4000, 1]
[100, 900, 2, 6000, 1]
[100, 800, 1, 6000, 1]
[100, 900, 3, 6000, 1]
[100, 800, 2, 6000, 1]
